ID	ENTITY_NAME__C	EXECUTED_PRODUCT_NAME__C	PRODUCT_NAME__C	APPROVE_ACTION_PLAN__C	Execution Tracker	EXECUTION_TRACKER_PRODUCT__C
a0l200000061G0iAAE	0012000000fq8aZAAQ	HDFC - Tax Saver (G) [Folio:3116216/18]	#N/A	a31200000001Gny	ET#47105 	
a0l200000061G0oAAE	0012000000fq8aZAAQ	Templeton - India ST Income Plan (G) [Folio:1049904237547]	#N/A	a31200000001Gnk	 	ET#47111
a0l200000061G0pAAE	0012000000fq8aZAAQ	Templeton - India ST Income Plan (G) [Folio:1049904237547]	#N/A	a31200000001Gnk	 	ET#47112
a0l200000061G0qAAE	0012000000fq8aZAAQ	Birla SL - Dividend Yield Plus (G) [Folio:1015592212]	#N/A	a31200000001Gni	ET#47113 	
a0l200000061G0rAAE	0012000000fq8aZAAQ	DSP BlackRock - Top 100 Equity Fund (G) [Folio:2424238/55]	#N/A	a31200000001Gng	ET#47114 	
a0l200000061G0sAAE	0012000000fq8aZAAQ	HDFC - Top 200 Fund - (G) [Folio:3116216/18]	HDFC Top 200 Fund	a31200000001Gne	ET#47115 	
a0l200000061G0zAAE	0012000000fq8aZAAQ	Birla SL - FTP Sr GG Reg (G) Folio:1015179833	TestTest	a31200000001GnU	ET#47122	
a0l200000061G14AAE	0012000000fq8aZAAQ	SBI - Blue Chip Fund (D) [Folio:6299983]	TestTest	a31200000001GnP	ET#47127	
a0l200000061G1PAAU	0012000000fq8aZAAQ	SBI Bluechip Fund	TestTest	a31200000001Gn4	ET#47148	
a0l200000061G1bAAE	0012000000iWCcrAAG	IDFC - Premier Equity Fund Reg (G) [Folio:1249828/51]	#N/A	a31200000001Gnz	ET#47160 	
a0l200000061G1cAAE	0012000000iWCcrAAG	IDFC - Premier Equity Fund Reg (G) [Folio:1249828/51]	#N/A	a31200000001Gnz	ET#47161 	
a0l200000061JmWAAU	0012000000iC7HtAAK	Axis Triple Advantage	Axis Triple Advanatage Fund	a312000000012oG	ET#50699	
a0l200000061JmhAAE	0012000000iC7HtAAK	ICICI Focused Bluechip G [Folio:5952130/49]	#N/A	a312000000012oS	 	ET#50710
a0l200000061JmiAAE	0012000000iC7HtAAK	ICICI Focused Bluechip G [Folio:5952130/49]	#N/A	a312000000012oS	ET#50711 	
a0l200000061JmjAAE	0012000000iC7HtAAK	DSP Equity Fund G [Folio:2739482/73]	#N/A	a312000000012oT	ET#50712 	
a0l200000061JmlAAE	0012000000iC7HtAAK	BSL Dynamic Bond Fund G - Folio:1015842028	#N/A	a312000000012oU	ET#50714 	
a0l200000061JmmAAE	0012000000iC7HtAAK	BSL Dynamic Bond Fund G - Folio:1015842028	#N/A	a312000000012oU	ET#50715 	
a0l200000061JmoAAE	0012000000iC7HtAAK	Reliance Gold Savings Fund G [Folio:404127703437]	#N/A	a312000000012oV	ET#50716 	
a0l200000061JmpAAE	0012000000iC7HtAAK	HDFC Top 200 G [Folio:8009670/24]	#N/A	a312000000012oW	ET#50718 	
a0l200000061JmqAAE	0012000000iC7HtAAK	HDFC Top 200 G [Folio:8009670/24]	#N/A	a312000000012oW	ET#50719 	
a0l200000061JmrAAE	0012000000iC7HtAAK	Axis - Triple Advantage Fund (G)[Folio:9048144856]	#N/A	a312000000012oX	ET#50720 	
a0l200000061JmsAAE	0012000000iC7HtAAK	Axis - Triple Advantage Fund (G)[Folio:9048144856]	#N/A	a312000000012oX	ET#50721 	
a0l200000061JmtAAE	0012000000iC7HtAAK	IDFC Premier Equity G [Folio:1350332/15]	#N/A	a312000000012oY	ET#50722 	
a0l200000061JmuAAE	0012000000iC7HtAAK	IDFC Premier Equity G [Folio:1350332/15]	#N/A	a312000000012oY	ET#50723 	
a0l200000061JmwAAE	0012000000iC7HtAAK	HDFC Cash Management Treasury Advantage D [Folio:8009670/24]	#N/A	a312000000012oa	ET#50725 	
a0lw0000008scvXAAQ	0012000000pcDtLAAU	AXIS Treasury Advantage	Axis Treasury Advantage Fund	a31200000001nkX	ET#61824 	
a0lw0000008scvuAAA	0012000000pcDtLAAU	HDFC Cash Management Treasury	HDFC Cash Management Treasury Advantage Fund	a31200000001nkE	ET#61847 	
a0lw0000008scvwAAA	0012000000pcDtLAAU	DSP BR Equity	DSP BlackRock Equity Fund	a31200000001nkC	ET#61849 	
a0lw0000008scvyAAA	0012000000pcDtLAAU	ICICI Pru Focussed Blue Chip Fund	ICICI Blue Chip Fund Growth	a31200000001nkB	 	ET#61850
a0lw0000008scvzAAA	0012000000pcDtLAAU	BSL Savings	Birla Sun Life Savings Fund	a31200000001nkA	ET#61852 	
a0lw0000008scw0AAA	0012000000pcDtLAAU	DSP Br Money Manager	#N/A	a31200000001nk9	ET#61853 	
a0lw0000008scw1AAA	0012000000pcDtLAAU	ICICI Pru Discovery	ICICI Discovery	a31200000001nk8	ET#61854 	
a0lw0000008scw2AAA	0012000000pcDtLAAU	Birla SL Dynamic Bond Fund	Birla Sun Life Dynamic Bond Fund	a31200000001nk7	ET#61855 	
a0lw0000008scw4AAA	0012000000pcDtLAAU	Birla SL Dynamic Bond Fund	Birla Sun Life Dynamic Bond Fund	a31200000001nk5	ET#61857 	
a0lw0000008scwcAAA	0012000000pcDtLAAU	Birla SL Dynamic Bond Fund	Birla Sun Life Dynamic Bond Fund	a31200000001njX	ET#61865	
a0lw0000008scwdAAA	0012000000pcDtLAAU	DSP Money Manager	DSP BlackRock Money Manager Fund	a31200000001njW	ET#61892	
a0lw0000008scweAAA	0012000000pcDtLAAU	Birla SL Savings	Birla Sun Life Savings Fund	a31200000001njV	ET#61867	
a0lw0000008scwgAAA	0012000000pcDtLAAU	Pramerica Ultra Short Term	Pramerica Ultra Short Term Bond Fund	a31200000001njT	ET#61869	
a0lw0000008scwhAAA	0012000000pcDtLAAU	Birla SL Savings	Birla Sun Life Savings Fund	a31200000001njS	ET#61870	
a0lw0000008scwiAAA	0012000000pcDtLAAU	DSP Money Manager	DSP BlackRock Money Manager Fund	a31200000001njR	ET#61897	
a0lw0000008scwlAAA	0012000000pcDtLAAU	Reliance Money Manager	Reliance Money Manager Fund - Retail Plan	a31200000001njO	ET#61874	
a0lw0000008scwmAAA	0012000000pcDtLAAU	Birla SL Dynamic Bond Fund	Birla Sun Life Dynamic Bond Fund	a31200000001njN	ET#61875	
a0lw0000008scvZAAQ	0012000000pcDtLAAU	ICICI Pru Flexi Income	ICICI Flexi Income Fund	a31200000001nkV	ET#61826 	
a0lw0000008scvaAAA	0012000000pcDtLAAU	Birla SL Dynamic Bond Fund	Birla Sun Life Dynamic Bond Fund	a31200000001nkU	ET#61827 	
a0lw0000008scvbAAA	0012000000pcDtLAAU	Birla SL Dynamic Bond Fund	Birla Sun Life Dynamic Bond Fund	a31200000001nkT	ET#61828 	
a0lw0000008scvcAAA	0012000000pcDtLAAU	AXIS Treasury Advantage	Axis Treasury Advantage Fund	a31200000001nkS	ET#61829 	
a0lw0000008scvdAAA	0012000000pcDtLAAU	Birla SL Dynamic Bond Fund	Birla Sun Life Dynamic Bond Fund	a31200000001nkQ	ET#61830 	
a0lw0000008scveAAA	0012000000pcDtLAAU	DSP BR Top 100	DSP BlackRock Top 100 Equity Fund	a31200000001nkP	ET#61831 	
a0lw0000008scvgAAA	0012000000pcDtLAAU	BSL Savings	Birla Sun Life Savings Fund	a31200000001nkO	ET#61833 	
a0lw0000008scvhAAA	0012000000pcDtLAAU	BSL Div Yield Plus	#N/A	a31200000001nkN	 	ET#61834
a0lw0000008scw5AAA	0012000000pcDtLAAU	DSP Money Manager	DSP BlackRock Money Manager Fund	a31200000001nk4	ET#61858 	
a0lw0000008scw9AAA	0012000000pcDtLAAU	BSL Savings	Birla Sun Life Savings Fund	a31200000001nk1	ET#61862	
a0lw0000008scwAAAQ	0012000000pcDtLAAU	BSL Savings	Birla Sun Life Savings Fund	a31200000001nk0	ET#61863	
a0lw0000008scwBAAQ	0012000000pcDtLAAU	Birla SL Frontline Equity	Birla Sun Life Frontline Equity Fund	a31200000001njy	ET#61864	
a0lw0000008scwCAAQ	0012000000pcDtLAAU	DSP Equity	DSP BlackRock Equity Fund	a31200000001njx	ET#61865	
a0lw0000008scwEAAQ	0012000000pcDtLAAU	IDFCMoney Manager	#N/A	a31200000001njv	ET#61867	
a0lw0000008scwFAAQ	0012000000pcDtLAAU	DSP Money Manager	DSP BlackRock Money Manager Fund	a31200000001nju	ET#61868	
a0lw0000008scwnAAA	0012000000pcDtLAAU	Birla SL Dynamic Bond Fund	Birla Sun Life Dynamic Bond Fund	a31200000001njM	ET#61902	
a0lw0000008scvkAAA	0012000000pcDtLAAU	BSL Frontline Equity	Birla Sun Life Frontline Equity Fund	a31200000001nkL	ET#61837 	
a0lw0000008scvmAAA	0012000000pcDtLAAU	AXIS Triple Advantage	Axis Triple Advanatage Fund	a31200000001nkK	ET#61839 	
a0lw0000008scvnAAA	0012000000pcDtLAAU	ICICI Pru Regular Savings Fund	ICICI Prudential Regular Savings	a31200000001nkJ	ET#61840 	
a0lw0000008scvpAAA	0012000000pcDtLAAU	Birla SL Dynamic Bond Fund	Birla Sun Life Dynamic Bond Fund	a31200000001nkI	ET#61842 	
a0lw0000008scvrAAA	0012000000pcDtLAAU	BSL Savings Fund	Birla Sun Life Savings Fund	a31200000001nkH	ET#61844 	
a0lw0000008scwGAAQ	0012000000pcDtLAAU	ICICI Pru Regular Savings Fund	ICICI Prudential Regular Savings	a31200000001njt	ET#61869	
a0lw0000008scwHAAQ	0012000000pcDtLAAU	Birla SL Dynamic Bond Fund	Birla Sun Life Dynamic Bond Fund	a31200000001njs	ET#61870	
a0lw0000008scwKAAQ	0012000000pcDtLAAU	Reliance Money Manager	Reliance Money Manager Fund - Retail Plan	a31200000001njp	ET#61873	
a0lw0000008scwLAAQ	0012000000pcDtLAAU	Birla SL Savings	Birla Sun Life Savings Fund	a31200000001njo	ET#61874	
a0lw0000008scwMAAQ	0012000000pcDtLAAU	Birla SL Dynamic Bond Fund	Birla Sun Life Dynamic Bond Fund	a31200000001njn	ET#61875	
a0lw0000008scwOAAQ	0012000000pcDtLAAU	ICICI Pru Discovery	ICICI Discovery	a31200000001njl	ET#61877	
a0lw0000008scwPAAQ	0012000000pcDtLAAU	ICICI Pru Focussed Blue Chip	ICICI Blue Chip Fund Growth	a31200000001njk	ET#61878	
a0lw0000008scwQAAQ	0012000000pcDtLAAU	Birla SL Dynamic Bond Fund	Birla Sun Life Dynamic Bond Fund	a31200000001njj	ET#61879	
a0lw0000008scwRAAQ	0012000000pcDtLAAU	Birla SL Dynamic Bond Fund	Birla Sun Life Dynamic Bond Fund	a31200000001nji	ET#61880	
a0lw0000008scwSAAQ	0012000000pcDtLAAU	Birla SL Dynamic Bond Fund	Birla Sun Life Dynamic Bond Fund	a31200000001njh	ET#61881	
a0lw0000008scwXAAQ	0012000000pcDtLAAU	Birla SL Div Yield	Birla Sun Life Dividend Yield Plus	a31200000001njc	ET#61886	
a0lw0000008scwZAAQ	0012000000pcDtLAAU	DSP Top 100	DSP BlackRock Top 100 Equity Fund	a31200000001nja	ET#61888	
a0lw0000008scwbAAA	0012000000pcDtLAAU	Reliance Gold	Reliance Gold Savings Fund	a31200000001njY	ET#61864	
a0l200000060lJtAAI	0012000000yEkEzAAK	Individual Health Guard	#N/A	a31200000000RgP	ET#34865	
a0l200000060lJuAAI	0012000000yEkEzAAK	TOP Up	#N/A	a31200000000RgO	ET#34866	
a0l200000060lJwAAI	0012000000yEkEzAAK	Individual Health Guard	#N/A	a31200000000RgM	ET#34868	
a0l200000060lJzAAI	0012000000yEkEzAAK	Individual Health Guard	#N/A	a31200000000RgJ	ET#34871	
a0l200000060lK0AAI	0012000000yEkEzAAK	Individual Health Guard	#N/A	a31200000000RgI	ET#34872	
a0l200000060lKAAAY	0012000000yEkEzAAK	AXIS Triple Advantage	Axis Triple Advanatage Fund	a31200000000Rg7	ET#34882	
a0l200000060lKHAAY	0012000000yEkEzAAK	AXIS Triple Advantage	Axis Triple Advanatage Fund	a31200000000Rg0	ET#34889	
a0l200000060lKNAAY	0012000000yEkEzAAK	AXIS Triple Advantage	Axis Triple Advanatage Fund	a31200000000Rfu	ET#34895	
a0l200000060lKSAAY	0012000000yEkEzAAK	AXIS Triple Advantage	Axis Triple Advanatage Fund	a31200000000Rfp	ET#34900	
a0l200000060lKZAAY	0012000000yEkEzAAK	AXIS Triple Advantage	Axis Triple Advanatage Fund	a31200000000Rfi	ET#34907	
a0l200000061Jr8AAE	0012000000zIfbzAAC	Saving's A/C	Savings Account	a312000000011hy	ET#50880	
a0l200000061JngAAE	0012000000yKa9zAAC	HDFC Top 200 Fund - Growth	#N/A	a31200000000QwD	ET#50765 	
a0l200000061M4oAAE	00120000011DX9nAAG	HDFC Click 2 Protect - 1.5 cr	HDFC Life Click 2 Protect	a31200000001PCV	ET#53623	
a0l200000061M4yAAE	00120000011DX9nAAG	HDFC Top 200 Growth	HDFC Top 200 Fund	a31200000001PCO	ET#53632 	
a0l200000061M56AAE	00120000011DX9nAAG	Axis Triple Advantage	Axis Triple Advanatage Fund	a31200000001PCG	ET#53641	
a0l200000061M57AAE	00120000011DX9nAAG	BSL Dynamic Bond	Birla Sun Life Dynamic Bond Fund	a31200000001PCF	ET#53642	
a0l200000061M5GAAU	00120000011DX9nAAG	UTI Opportunities Fund	UTI Opportunities	a31200000001PC6	ET#53651	
a0l200000061M5HAAU	00120000011DX9nAAG	Sundram Select mid cap Growth Fund	Sundaram Select Mid Cap	a31200000001PC5	ET#53652	
a0l200000061M5IAAU	00120000011DX9nAAG	BSL Dividend Yield Plus	Birla Sun Life Dividend Yield Plus	a31200000001PC4	ET#53653	
a0l200000061M5JAAU	00120000011DX9nAAG	DSP Equity	DSP BlackRock Equity Fund	a31200000001PC3	ET#53654	
a0l200000061M5KAAU	00120000011DX9nAAG	Pramerica Equity	Pramerica Equity Fund	a31200000001PC2	ET#53655	
a0l200000061M5MAAU	00120000011DX9nAAG	Axis Triple Advantage	Axis Triple Advanatage Fund	a31200000001PC0	ET#53657	
a0l200000061M5NAAU	00120000011DX9nAAG	BSL Dynamic Bond	Birla Sun Life Dynamic Bond Fund	a31200000001PBz	ET#53658	
a0l200000061M5PAAU	00120000011DX9nAAG	DSP Equity	DSP BlackRock Equity Fund	a31200000001PBx	ET#53660	
a0l200000061M5QAAU	00120000011DX9nAAG	Pramerica Equity	Pramerica Equity Fund	a31200000001PBw	ET#53661	
a0l200000061M5SAAU	00120000011DX9nAAG	Axis Triple Advantage	Axis Triple Advanatage Fund	a31200000001PBu	ET#53663	
a0l200000061M5TAAU	00120000011DX9nAAG	BSL Dynamic Bond	Birla Sun Life Dynamic Bond Fund	a31200000001PBt	ET#53690	
a0l200000061M5OAAU	00120000011DX9nAAG	BSL Dividend Yield Plus	Birla Sun Life Dividend Yield Plus	a31200000001PBy	ET#53685	
a0l200000061M5gAAE	00120000011DX9nAAG	BSL Dividend Yield Plus	Birla Sun Life Dividend Yield Plus	a31200000001PBg	ET#53677	
a0l200000061M5hAAE	00120000011DX9nAAG	DSP Equity	DSP BlackRock Equity Fund	a31200000001PBf	ET#53678	
a0l200000061M5iAAE	00120000011DX9nAAG	Pramerica Equity	Pramerica Equity Fund	a31200000001PBe	ET#53679	
a0l200000061M5kAAE	00120000011DX9nAAG	Axis Triple Advantage	Axis Triple Advanatage Fund	a31200000001PBc	ET#53681	
a0l200000061M5lAAE	00120000011DX9nAAG	BSL Dynamic Bond	Birla Sun Life Dynamic Bond Fund	a31200000001PBb	ET#53682	
a0l200000061M5mAAE	00120000011DX9nAAG	BSL Dividend Yield Plus	Birla Sun Life Dividend Yield Plus	a31200000001PBa	ET#53683	
a0l200000061M5nAAE	00120000011DX9nAAG	DSP Equity	DSP BlackRock Equity Fund	a31200000001PBZ	ET#53658	
a0l200000061M5oAAE	00120000011DX9nAAG	Pramerica Equity	Pramerica Equity Fund	a31200000001PBY	ET#53685	
a0l200000061M5qAAE	00120000011DX9nAAG	Axis Triple Advantage	Axis Triple Advanatage Fund	a31200000001PBW	ET#53661	
a0l200000061M5rAAE	00120000011DX9nAAG	BSL Dynamic Bond	Birla Sun Life Dynamic Bond Fund	a31200000001PBV	ET#53688	
a0l200000061M5sAAE	00120000011DX9nAAG	BSL Dividend Yield Plus	Birla Sun Life Dividend Yield Plus	a31200000001PBU	ET#53663	
a0l200000061M5tAAE	00120000011DX9nAAG	DSP Equity	DSP BlackRock Equity Fund	a31200000001PBT	ET#53690	
a0l200000061M5uAAE	00120000011DX9nAAG	Pramerica Equity	Pramerica Equity Fund	a31200000001PBS	ET#53691	
a0l200000061M5wAAE	00120000011DX9nAAG	Axis Triple Advantage	Axis Triple Advanatage Fund	a31200000001PBQ	ET#53693	
a0l200000061M5xAAE	00120000011DX9nAAG	BSL Dynamic Bond	Birla Sun Life Dynamic Bond Fund	a31200000001PBP	ET#53694	
a0l20000008rh4jAAA	0012000000xDpsIAAS	HDFC MidCap Opportunities (G) (4)	#N/A	a31200000000D2P	ET#57848 	
a0l20000008rh4mAAA	0012000000xDpsIAAS	ICICI Pru Focused Bluechip Eqty (G) (16)	#N/A	a31200000000D2R	ET#57851 	
a0l20000008rh4qAAA	0012000000xDpsIAAS	Birla SL Dividend Yield (G) (13)	#N/A	a31200000000D2U	ET#57855 	
a0l20000008rh4vAAA	0012000000xDpsIAAS	Birla Sun Life Midcap Fund -A (G) (11)	#N/A	a31200000000D2Y	ET#57860 	
a0l20000008rh54AAA	0012000000xDpsIAAS	UTI Dividend Yield Fund (G) (13)	#N/A	a31200000000D2f	ET#57869 	
a0l20000008rh57AAA	0012000000xDpsIAAS	ICICI Pru Dynamic Plan (G) (4)	#N/A	a31200000000D2h	ET#57872 	
a0l20000008rh5AAAQ	0012000000xDpsIAAS	UTI Opportunities Fund (G) (11)	#N/A	a31200000000D2j	ET#57875 	
a0l20000008rh5DAAQ	0012000000xDpsIAAS	DSP-BR Top 100 Equity - RP (G) (29)	#N/A	a31200000000D2l	ET#57878 	
a0l20000008rh5GAAQ	0012000000xDpsIAAS	Birla SL Frontline Equity -A (G) (26)	#N/A	a31200000000D2n	ET#57881 	
a0l20000008rh5LAAQ	0012000000xDpsIAAS	Axis Triple Advantage Fund (G) (4)	#N/A	a31200000000D2r	ET#57886 	
a0lw0000008sWhHAAU	00120000012BWMDAA4	Saving Account	Savings Account	a31w00000001v8o	ET#61806	
a0lw0000008sWhMAAU	00120000012BWMDAA4	Pramerica Short Term Income	Pramerica Short Term Income Fund	a31w00000001v8i	ET#61811	
a0l200000061KmrAAE	00120000010QCpUAAW	L&T Equity Fund-G	L & T Equity	a31200000001SAV	ET#51967 	
a0l200000061KmxAAE	00120000010QCpUAAW	HDFC Equity Fund-G	HDFC Equity Fund	a31200000001SAS	ET#51973 	
a0l200000061KmzAAE	00120000010QCpUAAW	Reliance Equity Opportunity Fund-G	#N/A	a31200000001SAR	ET#51975 	
a0l200000061Kn6AAE	00120000010QCpUAAW	HDFC Top 200-G	HDFC Top 200 Fund	a31200000001SAN	ET#51982 	
a0l200000061KnFAAU	00120000010QCpUAAW	Sundaram BNP Paribas Select Midcap Growth	TestTest	a31200000001SAC	ET#51992	
a0l200000061JWiAAM	00120000010PFtRAAW	DSP BR  Equity	#N/A	a31200000000yu4	ET#50119	
a0l200000061JWIAA2	00120000010PFtRAAW	Savings Account	Savings Account	a31200000000yuV	ET#50093	
a0l200000061JWOAA2	00120000010PFtRAAW	PPF	NA	a31200000000yuO	ET#50099	
a0l200000061JWUAA2	00120000010PFtRAAW	PPF	NA	a31200000000yuI	ET#50105	
a0lw0000008sU0dAAE	0012000000s2UymAAE	Birla SL - DBF Ret (G) [Folio:1016087517]	#N/A	a31w00000001y1o	ET#61603 	
a0lw0000008sU0iAAE	0012000000s2UymAAE	HDFC - Top 200 Fund - (G) [Folio:8669911/41]	#N/A	a31w00000001y1m	ET#61607 	
a0lw0000008sU0jAAE	0012000000s2UymAAE	IDFC - Money Manager Fund TP Reg (D) (D) [Folio:1408085/95]	#N/A	a31w00000001y1l	ET#61609 	
a0lw0000008sU0kAAE	0012000000s2UymAAE	Birla SL - Savings Fund Reg (D) (D) [Folio:1016087517]	#N/A	a31w00000001y1k	ET#61610 	
a0lw0000008sU0mAAE	0012000000s2UymAAE	IDFC MM Treasury A	IDFC Money Manager Fund - Treasury Plan A	a31w00000001y1i	ET#61612	
a0lw0000008sU0hAAE	0012000000s2UymAAE	HDFC - Top 200 Fund - (G) [Folio:8669911/41]	#N/A	a31w00000001y1m	ET#61607 	
a0l200000061ACPAA2	0012000000zG2rtAAC	IDFC MM Treasury A	IDFC Money Manager Fund - Treasury Plan A	a31200000000kAW	ET#42695 	
a0l200000061ACQAA2	0012000000zG2rtAAC	BSL Savings	Birla Sun Life Savings Fund	a31200000000kAV	ET#42696 	
a0l200000061ACAAA2	0012000000zG2rtAAC	HDFC Life Click 2 Protect	HDFC Life Click 2 Protect	a31200000000kAl	ET#42680 	
a0l200000061Aj5AAE	00120000010PfsRAAS	Reliance Regular Savings Fund-Equity -Growth	#N/A	a312000000013f0	ET#43038 	
a0l200000061AjBAAU	00120000010PfsRAAS	IDFC Money Manager Treasury A	IDFC Money Manager Fund - Treasury Plan A	a312000000013ei	ET#43044	
a0l200000061AjDAAU	00120000010PfsRAAS	SBI Blue Chip Fund	TestTest	a312000000013ef	ET#43046	
a0l200000061AjEAAU	00120000010PfsRAAS	Reliance RSF - Equity	Reliance Regular Savings Fund	a312000000013ee	ET#43047	
a0l200000061AjqAAE	00120000010QIxRAAW	Reliance Growth Fund -Retial Plan- Dividend Plan	#N/A	a312000000013eu	ET#43085 	
a0l200000061AjsAAE	00120000010QIxRAAW	Reliance Growth Fund -Retial Plan- Dividend Plan	#N/A	a312000000013er	 	ET#43087
a0l200000061AjuAAE	00120000010QIxRAAW	SBI Blue Chip Fund- Growth	#N/A	a312000000013en	ET#43089 	
a0l200000061AjvAAE	00120000010QIxRAAW	Reliance Regular Savings Fund-Equity - Growth	#N/A	a312000000013em	ET#43090 	
a0l200000061HqkAAE	0012000000oDJ2YAAW	Icici Focsued Bluechip	#N/A	a31200000001KlR	 	ET#47936
a0l200000061HqlAAE	0012000000oDJ2YAAW	Icici Focsued Bluechip	#N/A	a31200000001KlR	ET#47937 	
a0l200000061HqnAAE	0012000000oDJ2YAAW	Reliance Gold Savings Fund	Reliance Gold Savings Fund	a31200000001KlP	#N/A	
a0l200000061HqYAAU	0012000000oDJ2YAAW	Dsp Equity	DSP BlackRock Equity Fund	a31200000001Kla	#N/A	
a0l200000061HqaAAE	0012000000oDJ2YAAW	Birla Sun Life Dynamic Bond Fund	#N/A	a31200000001KlZ	#N/A	
a0l200000061HqdAAE	0012000000oDJ2YAAW	Idfc Premier Equity	IDFC Premier Equity Fund - Plan A	a31200000001KlW	#N/A	
a0l200000061HqeAAE	0012000000oDJ2YAAW	Idfc Premier Equity	IDFC Premier Equity Fund - Plan A	a31200000001KlW	#N/A	
a0l200000061HqgAAE	0012000000oDJ2YAAW	Icici Focsued Bluechip	#N/A	a31200000001KlU	#N/A	
a0l200000061HqhAAE	0012000000oDJ2YAAW	Birla Sun Life Dynamic Bond Fund	#N/A	a31200000001KlT	#N/A	
a0l200000061HqiAAE	0012000000oDJ2YAAW	Birla Sun Life Dynamic Bond Fund	#N/A	a31200000001KlT	#N/A	
a0l200000061JIUAA2	00120000011DXmiAAG	Bajaj Allianz Critical Illness	Bajaj Allianz Critical Illness Cover	a31200000001EgL	ET#49816	
a0l200000061JIXAA2	00120000011DXmiAAG	Bajaj Allianz Premium Personal Guard	Bajaj Allianz Premier Personal Guard	a31200000001EgI	ET#49819	
a0l200000061LO5AAM	0012000000rGf5UAAS	BS Dynamic G - [Folio:1016061183]	#N/A	a312000000016XV	#N/A	
a0l200000061LO7AAM	0012000000rGf5UAAS	DSP Short Term Fund G - [Folio:2797053/20]	#N/A	a312000000016XU	#N/A	
a0l200000061LO8AAM	0012000000rGf5UAAS	DSP BlackRock - Equity Fund Reg (G) [Folio:2797053/20]	#N/A	a312000000016XT	#N/A	
a0l200000061LOjAAM	0012000000rGf5UAAS	FMP	NA	a312000000016Ww	ET#52633	
a0l200000061LONAA2	0012000000rGf5UAAS	IDFC - Sterling Equity Fund Reg (G) [Folio:1394134/44]	#N/A	a312000000016XJ	#N/A	
a0l200000061LOOAA2	0012000000rGf5UAAS	Savings Account	Savings Account	a312000000016XI	ET#52612	
a0l200000061LOpAAM	0012000000rGf5UAAS	Pramerica equity	Pramerica Equity Fund	a312000000016Wq	ET#52639	
a0l200000061LOAAA2	0012000000rGf5UAAS	Pramerica Short Term Income G - [Folio:9041898691]	#N/A	a312000000016XS	#N/A	
a0l200000061LOCAA2	0012000000rGf5UAAS	IDFC MM Treasury A DDR [Folio:1394134/44]	#N/A	a312000000016XQ	#N/A	
a0l200000061LODAA2	0012000000rGf5UAAS	HDFC - Top 200 Fund - (G) [Folio:8635037/97]	#N/A	a312000000016XP	#N/A	
a0l200000061LOFAA2	0012000000rGf5UAAS	Axis - Triple Advantage Fund (G) [Folio:9047650533]	#N/A	a312000000016XO	#N/A	
a0l200000061LOHAA2	0012000000rGf5UAAS	BSL Frontline Equity (G) [Folio:1016061183]	#N/A	a312000000016XN	#N/A	
a0l200000061LOIAA2	0012000000rGf5UAAS	Birla SL - Dividend Yield Plus (G) [Folio:1016061183]	#N/A	a312000000016XM	#N/A	
a0l200000061LOKAA2	0012000000rGf5UAAS	IDFC - Premier Equity Fund Reg (G) [Folio:1394134/44]	#N/A	a312000000016XL	#N/A	
a0l200000061LOMAA2	0012000000rGf5UAAS	Pramerica Equity (G) [Folio:9041898664]	#N/A	a312000000016XK	#N/A	
a0l200000061NJrAAM	00120000010R4DqAAK	SBI Magnum Tax Saving	TestTest	a31200000001QEJ	#N/A	
a0l200000061NJuAAM	00120000010R4DqAAK	IDFC Premier Equity	IDFC Premier Equity Fund - Plan A	a31200000001QEH	#N/A	
a0l200000061NJwAAM	00120000010R4DqAAK	HDFC Top 200	HDFC Top 200 Fund	a31200000001QEG	#N/A	
a0l200000061NIwAAM	0012000000rG4TaAAK	SBI Magnum Tax Saving	TestTest	a31200000001QDg	ET#55748	
a0l200000061NIRAA2	0012000000rG4TaAAK	SBI Magnum Tax Saving	TestTest	a31200000001QEB	ET#55717	
a0l20000008rfMWAAY	0012000000ZmRKNAA3	Templeton India ST Income G Folio:1049904176701	#N/A	a31200000001NdL	ET#57577	
a0l200000060t8WAAQ	0012000000yL1tEAAS	Critical Illness Cover	#N/A	a31200000000ZC8	ET#35777	
a0l200000060t8XAAQ	0012000000yL1tEAAS	Individual Health Cover	#N/A	a31200000000ZC9	ET#35778	
a0l200000060t8YAAQ	0012000000yL1tEAAS	Personal Accident & Disability Cover	#N/A	a31200000000ZCA	ET#35779	
a0l200000060t8ZAAQ	0012000000yL1tEAAS	Individual Health Cover	#N/A	a31200000000ZCB	ET#35780	
a0l200000060t8aAAA	0012000000yL1tEAAS	Critical Illness Cover	#N/A	a31200000000ZCC	ET#35781	
a0l200000060t8bAAA	0012000000yL1tEAAS	Individual Health Cover	#N/A	a31200000000ZCD	ET#35782	
a0l200000060t8cAAA	0012000000yL1tEAAS	Top Up Cover - 3 Members	#N/A	a31200000000ZCE	ET#35783	
a0l200000060t8dAAA	0012000000yL1tEAAS	Personal Accident & Disability Cover	#N/A	a31200000000ZCF	ET#35784	
a0l200000061FJOAA2	0012000000yJZNrAAO	AXIS Triple Advantage	Axis Triple Advanatage Fund	a31200000000Vx7	ET#46682	
a0l200000061FJRAA2	0012000000yJZNrAAO	IDFC MM G	#N/A	a31200000000Vx4	ET#46685	
