EXECUTED_PRODUCT_NAME__C,PRODUCT_NAME__C
BSL Savings,Birla Sun Life Savings Fund
Pramerica Short Term Income,Pramerica Short Term Income Fund
Pramerica Short Term,Pramerica Short Term Income Fund
BSL Dynamic,Birla Sun Life Dynamic Bond Fund
IDFC MM Treasury A,IDFC Money Manager Fund - Treasury Plan A
BSL Savings,Birla Sun Life Savings Fund
Pramerica Short Term Income,Pramerica Short Term Income Fund
BSL Dynamic,Birla Sun Life Dynamic Bond Fund
HDFC Top 200,HDFC Top 200 Fund
HDFC Equity,HDFC Equity Fund
Birla SL Savings,Birla Sun Life Savings Fund
Birla SL Dynamic Bond Fund,Birla Sun Life Dynamic Bond Fund
Axis Triple Advantage,Axis Triple Advanatage Fund
Reliance Equity Opportunities,Reliance Equity Opportunities Fund - Retail Plan (G)
Birla SL Frontline Equity,Birla Sun Life Frontline Equity Fund
HDFC Click2Protect (10000000),HDFC Life Click 2 Protect
Bajaj Allianz Premium Personal guard,Bajaj Allianz Premier Personal Guard
Saving Bank Account,Savings Account
BSL Dynamic Bond Fund,Birla Sun Life Dynamic Bond Fund
BSL Dynamic Bond Fund,Birla Sun Life Dynamic Bond Fund
DSP BR Top 100 Fund,DSP BlackRock Top 100 Equity Fund
BSL Frontline Equity Fund,Birla Sun Life Frontline Equity Fund
DSP BR Equity Fund,DSP BlackRock Equity Fund
BSL Dividend Yield Plus Fund,Birla Sun Life Dividend Yield Plus
BSL Dynamic Bond Fund,Birla Sun Life Dynamic Bond Fund
Prameirca Short Term Income Fund,Pramerica Short Term Income Fund
BSL Frontline Equity Fund,Birla Sun Life Frontline Equity Fund
DSP BR Equity Fund,DSP BlackRock Equity Fund
BSL Dynamic Bond Fund,Birla Sun Life Dynamic Bond Fund
BSL Frontline Equity Fund,Birla Sun Life Frontline Equity Fund
DSP BR Top 100 Fund,DSP BlackRock Top 100 Equity Fund
DSP BR Equity Fund,DSP BlackRock Equity Fund
Bajaj Allianz Critical Care Cover,Bajaj Allianz Critical Care Policy
Bajaj Allianz Extra Care Cover,Bajaj Allianz Extra Care
Bajaj Allianz Critical Care Cover,Bajaj Allianz Critical Care Policy
Bajaj Allianz Premium Personal Guard,Bajaj Allianz Premier Personal Guard
HDFC Top 200 Fund G,HDFC Top 200 Fund
BSL Dynamic Bond Fund,Birla Sun Life Dynamic Bond Fund
Axis Triple Advantage Funds,Axis Triple Advanatage Fund
BSL Frontline Equity Fund,Birla Sun Life Frontline Equity Fund
DSP BR Equity Fund,DSP BlackRock Equity Fund
Pramerica Short Term Income,Pramerica Short Term Income Fund
BSL Dynamic Bond Fund,Birla Sun Life Dynamic Bond Fund
BSL Frontline Equity Fund,Birla Sun Life Frontline Equity Fund
DSP BR Equity Fund,DSP BlackRock Equity Fund
IDFC Premier Equity Fund,IDFC Premier Equity Fund - Plan A
BSL Dynamic Bond Fund,Birla Sun Life Dynamic Bond Fund
BSL Frontline Equity Fund,Birla Sun Life Frontline Equity Fund
DSP BR Equity Fund,DSP BlackRock Equity Fund
IDFC Premier Equity Fund,IDFC Premier Equity Fund - Plan A
BSL Dynamic Bond Fund,Birla Sun Life Dynamic Bond Fund
DSP BR Equity Fund,DSP BlackRock Equity Fund
HDFC Cash Management Treasury Advt,HDFC Cash Management Treasury Advantage Fund
HDFC Cash Management Treasury Advt,HDFC Cash Management Treasury Advantage Fund
Pramerica Short Term Income,Pramerica Short Term Income Fund
Axis Triple Advantage,Axis Triple Advanatage Fund
Pramerica Equity,Pramerica Equity Fund
DSP Equity,DSP BlackRock Equity Fund
Birla SL Savings Fund,BSL Savings Fund
BSL Frontline Equity,Birla Sun Life Frontline Equity Fund
Pramerica Equity,Pramerica Equity Fund
DSP Equity,DSP BlackRock Equity Fund
Axis Triple Advantage,Axis Triple Advanatage Fund
Pramerica Short Term Income,Pramerica Short Term Income Fund
BSL Frontline Equity,Birla Sun Life Frontline Equity Fund
Pramerica Equity,Pramerica Equity Fund
DSP Equity,DSP BlackRock Equity Fund
Axis Triple Advantage,Axis Triple Advanatage Fund
Pramerica Short Term Income,Pramerica Short Term Income Fund
Birla SL Dynamic Bond Fund,Birla Sun Life Dynamic Bond Fund
Birla SL Frontline Equity,Birla Sun Life Frontline Equity Fund
DSP Equity,DSP BlackRock Equity Fund
Pramerica Equity,Pramerica Equity Fund
Axis Triple Advantage,Axis Triple Advanatage Fund
Pramerica Short Term Income,Pramerica Short Term Income Fund
Pramerica Short Term Income,Pramerica Short Term Income Fund
Axis Triple Advantage,Axis Triple Advanatage Fund
Pramerica Equity,Pramerica Equity Fund
DSP Equity,DSP BlackRock Equity Fund
Birla SL Frontline Equity,Birla Sun Life Frontline Equity Fund
Pramerica Short Term Income,Pramerica Short Term Income Fund
Axis Triple Advantage,Axis Triple Advanatage Fund
Pramerica Equity,Pramerica Equity Fund
DSP Equity,DSP BlackRock Equity Fund
Birla SL Frontline Equity,Birla Sun Life Frontline Equity Fund
Pramerica Short Term Income,Pramerica Short Term Income Fund
Axis Triple Advantage,Axis Triple Advanatage Fund
Pramerica Equity,Pramerica Equity Fund
DSP Equity,DSP BlackRock Equity Fund
Birla SL Frontline Equity,Birla Sun Life Frontline Equity Fund
Pramerica Short Term Income,Pramerica Short Term Income Fund
Axis Triple Advantage,Axis Triple Advanatage Fund
Pramerica Equity,Pramerica Equity Fund
DSP Equity,DSP BlackRock Equity Fund
Bajaj Allianz Premium Personal Guard,Bajaj Allianz Premier Personal Guard
Bajaj Allianz Critical Illness,Bajaj Allianz Critical Illness Cover
Reliance Banking Fund,Reliance Banking
Savings a/c,Savings Account
IDFC MM Treasury A,IDFC Money Manager Fund - Treasury Plan A
BSL Savings,Birla Sun Life Savings Fund
DSP BR Tax Saver Fund,DSP BlackRock Tax Saver Fund
Reliance Banking Fund,Reliance Banking
Axis Triple Advantage,Axis Triple Advanatage Fund
Pramerica Short Term Income,Pramerica Short Term Income Fund
IDFC MM Treasury A,IDFC Money Manager Fund - Treasury Plan A
BSL Savings,Birla Sun Life Savings Fund
Relaince Banking Fund,Reliance Banking
Axis Triple Advantage,Axis Triple Advanatage Fund
Pramerica Short Term Income,Pramerica Short Term Income Fund
BSL Frontline Equity,Birla Sun Life Frontline Equity Fund
Birla SL Dynamic Bond Fund,Birla Sun Life Dynamic Bond Fund
Birla SL Dynamic Bond Fund,Birla Sun Life Dynamic Bond Fund
HDFC Top 200,HDFC Top 200 Fund
HDFC Top 200,HDFC Top 200 Fund
Reliance Money Manager,Reliance Money Manager Fund - Retail Plan
DSP Br Income Opportunities,DSP BlackRock Income Opportunities Fund
DSP Equity,DSP BlackRock Equity Fund
DSP Equity,DSP BlackRock Equity Fund
L&T Equity Fund,L & T Equity
Birla SL Dynamic Bond Fund,Birla Sun Life Dynamic Bond Fund
IDFC Sterling Equity,IDFC Sterling Equity Fund
IDFC Sterling Equity,IDFC Sterling Equity Fund
DSP Br Income Opportunities,DSP BlackRock Income Opportunities Fund
Reliance Money Manager,Reliance Money Manager Fund - Retail Plan
IDFC Premier Equity,IDFC Premier Equity Fund - Plan A
IDFC Premier Equity,IDFC Premier Equity Fund - Plan A
ICICI Pru Regular Savings,ICICI Prudential Regular Savings
ICICI Pru Regular Savings,ICICI Prudential Regular Savings
DSP Equity Fund - G [Folio:2782446/94],DSP BlackRock Equity Fund
DSP Equity Fund - G [Folio:2782446/94],DSP BlackRock Equity Fund
HDFC Top 200 - G [Folio:8581251/47],HDFC Top 200 Fund
HDFC Top 200 - G [Folio:8581251/47],HDFC Top 200 Fund
BSL Dynamic Fund - G [Folio:1016034708],Birla Sun Life Dynamic Bond Fund
BSL Dynamic Fund - G [Folio:1016034708],Birla Sun Life Dynamic Bond Fund
ICICI Focused Bluechip Reg - Gr,ICICI Blue Chip Fund Growth
Bajaj Allianz Premium Personal guard,Bajaj Allianz Premier Personal Guard
Savings Account,Savings Account
Bajaj Allianz Premium Personal guard,Bajaj Allianz Premier Personal Guard
DSP Equity,DSP BlackRock Equity Fund
Pramerica Equity,Pramerica Equity Fund
BSL Frontline Equity,Birla Sun Life Frontline Equity Fund
Axis Triple Advantage,Axis Triple Advanatage Fund
Pramerica Short Term Income,Pramerica Short Term Income Fund
Pramerica Equity,Pramerica Equity Fund
DSP Equity,DSP BlackRock Equity Fund
BSL Frontline Equity,Birla Sun Life Frontline Equity Fund
Axis Triple Advantage,Axis Triple Advanatage Fund
Pramerica Short Term Income,Pramerica Short Term Income Fund
IDFC Money Manager Treasury A,IDFC Money Manager Fund - Treasury Plan A
BSL Savings Fund,Birla Sun Life Savings Fund
IDFC Money Manager Treasury A,IDFC Money Manager Fund - Treasury Plan A
BSL Savings,Birla Sun Life Savings Fund
IDFC Money Manager Treasury A,IDFC Money Manager Fund - Treasury Plan A
BSL Savings,Birla Sun Life Savings Fund
