Action_Plan_Product_Name__c ,Product_Name__c 
Reliance Money Manager Fund,Reliance Money Manager Fund - Retail Plan
Apollo Munich Easy Health Individual Standard,Apollo Munich Easy Health Individual
UTI Dividend Yield,UTI Dividend Yield
HDFC Top 200 - DIVIDEND,HDFC Top 200 Fund
HDFC Balanced Growth,HDFC Balanced Fund
DSP BR Dual Advantage,DSPBR Dual Advantage
HDFC Tax Saver,HDFC Tax Saver
UTI Opportunities,UTI Opportunities
HDFC Long Term Advantage Fund,HDFC Long Term Advantage Fund
ICICI Pru Capital Protection,ICICI Prudential Capital Protection
HDFC Long Term Advantage,HDFC Long Term Advantage Fund
DSP BR Dual Advantage Fund,DSPBR Dual Advantage
ICICI Prudential Bhliechip Equity Fund,ICICI Blue Chip Fund Growth
L&T India Special Situations Fund,L & T India Special Situations Fund
HDFC High Interest ST Income,HDFC High Interest Fund - Short Term Plan
ICICI Focuss Blue Chip Fund,ICICI Blue Chip Fund Growth
DSP Income Opportunities,DSP BlackRock Income Opportunities Fund 
ICICI Pru Flexi Income,ICICI Flexi Income Fund
Pramerica Ultra Short Term Plan,Pramerica Ultra Short Term Bond Fund
DSP Br ST Fund,DSP BlackRock Short Term Fund
ICICI Pru Regular Savings Fund,ICICI Prudential Regular Savings
ICICI Pru Foccussed Blue Chip Equity,ICICI Blue Chip Fund Growth
ICICI Pru Focussed Equity,ICICI Blue Chip Fund Growth
BSL BSL Savings,Birla Sun Life Savings Fund
Premium Personal Guard,Bajaj Allianz Premier Personal Guard
HDFC Hi Short Term,HDFC High Interest Fund - Short Term Plan
Corporate Deposit,Fixed Deposit
IDFC Money Manager Treasury Advanatage Fund,IDFC Money Manager Fund - Treasury Plan A
IDFC Money Manager Treasury Advantage Fund,IDFC Money Manager Fund - Treasury Plan A
DSP Top 100 Equity,DSP BlackRock Top 100 Equity Fund
HDFC Monthly Income Plan - Long Term Plan (G),HDFC Monthly Income Plan - Long Term Plan
DSPBR T.I.G.E.R. Reg-G,DSP BlackRock T.I.G.E.R. Reg
HDFC Long Term Equity Fund-G,HDFC Long Term Advantage Fund
HDFC Prudence Fund - G,HDFC Prudence Fund
Tata Pure Equity Fund-G,Tata Pure Equity
FMP,NA
IDFC Money Manager Treasury Advantage Plan A,IDFC Money Manager Fund - Treasury Plan A
BSL Mid Cap Fund (G) Folio:1015176794,Birla Sun Life MidCap Fund
IDFC Premier Equity Fund (G) [Folio:1249828/51],IDFC Premier Equity Fund - Plan A
SBI Bluechip Fund,TestTest
Templeton India ST Income (G) Folio:1049904237547,Templeton India Short-term Income Ret
Templeton India ST Income Fund,Templeton India Short-term Income Ret
Axis Triple Advantage Fund (G) Folio:9048051712,Axis Triple Advanatage Fund
DSP Equity Fund Reg (G) [Folio:2586395/39],DSP BlackRock Equity Fund 
BSL Mid Cap Fund (G) [Folio:1015179833],Birla Sun Life MidCap Fund
BSL Mid Cap Fund (G) [Folio:1015176794],Birla Sun Life MidCap Fund
SBI - Blue Chip Fund (D) [Folio:6299983],TestTest
HDFC - Top 200 Fund - (G) [Folio:7640557/11],HDFC Top 200 Fund
HDFC - Top 200 Fund - (G) [Folio:6077190/65],HDFC Top 200 Fund
HDFC - Top 200 Fund - (G) [Folio:6036453/56],HDFC Top 200 Fund
BSL Dividend Yield Plus (G) [Folio:1015592212],Birla Sun Life Dividend Yield Plus
Birla SL - FTP Sr GG Reg (G) Folio:1015179833,TestTest
HDFC - Top 200 Fund - (G) [Folio:3116216/18],HDFC Top 200 Fund
DSP Top 100 Equity Fund (G) [Folio:2424238/55],DSP BlackRock Top 100 Equity Fund
Kotak 50 Equity Scheme Gr 1987616/33,Kotak 50
Kotak 50 Equity Scheme,Kotak 50
Pramerica Short Term Income/ BSL Dynamic,Pramerica Short Term Income Fund
IDFC Premier Equity/BSL Dividend Yield Plus,IDFC Premier Equity Fund - Plan A
Bajaj Allianz Critical Illness Cover,Bajaj Allianz Critical Illness Cover
Bajaj Allianz HealthGuard,Bajaj Allianz Health Guard
Bajaj Allianz Extracare,Bajaj Allianz Extra Care
Fixed Deposit,Fixed Deposit
Kotak Gold,Kotak Gold
DSP BR Top 100 Fund DDR,DSP BlackRock Top 100 Equity Fund
Templeton India Equity Fund DDR,Templeton India Equity Income Fund
IDFC Money Manager Treasury Plan A,IDFC Money Manager Fund - Treasury Plan A
Canara Robeco Equity Diversified,Canara Robeco Equity Diversified Regular
HDFC Mid-Cap Opportunities,HDFC Mid-Cap Opportunities Fund 
Canara Robeco Eqt Diversified,Canara Robeco Equity Diversified Regular
ICICI Lombard Critical Care Policy,ICICI Critical Care
ICICI Lombard Health Care Policy,ICICI Lombard Health Protect Plus
ICICI Personal Protect Policy,ICICI Lombard Personal Accident Cover
BNP Pariba Equity,BNP Paribas Equity
Pramerica Short Tern Income,Pramerica Short Term Income Fund
Birla SL Mid Cap,Birla Sun Life MidCap Fund
Reliance My Gold Plan,Reliance Gold Savings Fund
Franklin India Prima Plus Fund,Franklin India Prima Fund
BSL Div Yield Fund,Birla Sun Life Dividend Yield Plus
"Canara, SBI",Canara Robeco Equity Diversified Regular
DSP Equity Fund - G [Folio:2782446/94],DSP BlackRock Equity Fund 
HDFC Top 200 - G [Folio:8581251/47],HDFC Top 200 Fund
BSL Dynamic Fund - G [Folio:1016034708],Birla Sun Life Dynamic Bond Fund
ICICI Focused Bluechip Reg - Gr,ICICI Blue Chip Fund Growth
Birl SL Savings,Birla Sun Life Savings Fund
HDFC Equity Fund Gr Folio: 7861617/20,HDFC Equity Fund
HDFC Mid cap Oppr Fund Gr Folio:8716791/51,HDFC Mid-Cap Opportunities Fund 
DSP Top 100 Equity Fund Gr Folio:2063846/69,DSP BlackRock Top 100 Equity Fund
HDFC Equity Fund Gr Folio:6578510/90,HDFC Equity Fund
HDFC Equity Fund Gr Folio:6823179/82,HDFC Equity Fund
HDFC Mid cap Oppr Fund,HDFC Mid-Cap Opportunities Fund 
HDFC Mid cap Oppr Fund Gr Folio:7859325/09,HDFC Mid-Cap Opportunities Fund 
DSP Top 100 Equity Fund Gr Folio:2503784/37,DSP BlackRock Top 100 Equity Fund
HDFC Equity Fund - Gr Folio:6823179/82,HDFC Equity Fund
HDFC Equity Fund Gr Folio:7861617/20,HDFC Equity Fund
HDFC Top 200 Fund Gr Folio:5758391/42,HDFC Top 200 Fund
IDFC Premier Equity Fund Gr Folio:1200334/26,IDFC Premier Equity Fund - Plan A
HDFC Prudence Fund Gr Folio:8271028/01,HDFC Prudence Fund
TFMP 38 A Growth Folio:2695303/11,Templeton India Equity Income Fund
IDFC Premier Equity Fund-Gr Folio:1092992/12,IDFC Premier Equity Fund - Plan A
Templeton India Ultra-short Bond Fund,Templeton India Short-term Income Ret
Bajaj Allianz Premium Personal Accident,Bajaj Allianz Premier Personal Guard
Bajaj Allianz Personal Guard,Bajaj Allianz Premier Personal Guard
HDFC Cash Management Treasury Advt,HDFC Cash Management Treasury Advantage Fund
Birla SL Div Yield,Birla Sun Life Dividend Yield Plus
Birla SL Dividend Yield,Birla Sun Life Dividend Yield Plus
Bilra SL Dynamic Bond Fund,Birla Sun Life Dynamic Bond Fund
Reliance Tax Saver,Reliance Tax Saver (ELSS) Fund
Relaince Banking Fund,Reliance Banking
DSP BR Tax Saver Fund,DSP BlackRock Tax Saver Fund 
HDFC Top 200-G,HDFC Top 200 Fund
HDFC Equity Fund-G,HDFC Equity Fund
L&T Equity Fund-G,L & T Equity
Sundaram BNP Paribas Select Midcap Growth,TestTest
BSL Dynamic,Birla Sun Life Dynamic Bond Fund
UTI Gold Fund,UTI Gold
Franklin India Blue-chip Fund - Div Reinvestment,Franklin India Bluechip Fund
Hdfc Prudence Fund - Dividend Reinvestment,HDFC Prudence Fund
HDFC Top 200 Fund - (G) [Folio:6036453/56],HDFC Top 200 Fund
DSP Top 100 Equity Fund (G) [Folio:2586395/39],DSP BlackRock Top 100 Equity Fund
